N,n,r,h,h_floor,eps_h,z_h,rho30,boost_G,boost_primes,family,z_native_i,x,y,z
328,164,10,6.617752663108333,6,4,1.3147709440226973,28,1.0256410256410255,41,shell_other,4+28i,5.134959899369424,13.713768554891699,3.485872595524582
330,165,24,19.194219995040168,19,5,1.0969293379228395,0,2.962962962962963,"3,5,11",mobius_3x5,5,22.306331003058425,0.0,4.099711854020489
332,166,6,6.584043250233951,6,0,-0.22761384311709137,2,1.0123456790123457,83,shell_other,2i,5.117563820576433,18.278486211817775,1.955810460315902
334,167,11,6.568983729941007,6,5,1.728837808083563,4,1.006060606060606,167,shell_other,5+4i,3.742250835498074,20.156190611534164,3.918450168407265
336,168,19,15.732081740037065,15,4,0.8239068012611348,6,2.4,"3,7",cone_3,4+6i,-3.918130870413325,6.407334346682283,3.0197211206908467
338,169,9,7.178855898998991,7,2,0.6796990978543355,8,1.0909090909090908,13,shell_other,2+8i,-0.5921557559897084,21.63398567615179,2.9172715581969504
340,170,13,9.395432377803909,9,4,1.175966071408065,10,1.422222222222222,"5,17",ring_5,4+10i,4.187139089190874,3.139967204576998,3.0944626161511932
342,171,17,14.043538182729465,14,3,0.788921886875993,12,2.1176470588235294,"3,19",cone_3,3+12i,-10.91681938705758,3.5722783872185846,3.009673403386882
344,172,10,6.819509736861885,6,4,1.217916441768053,14,1.024390243902439,43,shell_other,4+14i,-5.471029715338737,17.16290326508692,3.4559440691126317
346,173,9,6.721652001838664,6,3,0.8787838105801155,16,1.0058479532163742,173,shell_other,3+16i,-5.450983974560785,14.84135758864897,3.118098685458925
348,174,16,13.912821717788319,13,3,0.5595667973422953,18,2.074074074074074,"3,29",cone_3,3+18i,-10.84428884036781,-3.519581860468985,2.8048217984932613
350,175,13,10.77332111137451,10,3,0.6783952356226317,20,1.5999999999999999,"5,7",ring_5,3+20i,4.193408881810148,-3.1291076052074906,2.7621254605876766
352,176,10,7.509607947309316,7,3,0.9087806880363463,22,1.1111111111111112,11,shell_other,3+22i,-0.591679042476215,10.370549949955887,3.212014731093724
354,177,20,13.805897240944583,13,7,1.6670402571194667,24,2.0350877192982457,"3,59",cone_3,7+24i,-4.174201153937086,-5.6192310507214085,3.936379859347502
356,178,9,6.887447756961099,6,3,0.8049674120962399,26,1.0114942528735633,89,shell_other,3+26i,3.7214842159641948,11.866873056010862,3.086607183736857
